exerciseId,name,gifUrl,target_muscles,body_part_category,equipment_needed,secondaryMuscles,instructions
5uFK1xr,barbell seated overhead triceps extension,5uFK1xr.gif,triceps,upper arms,barbell,shoulders,"Step:1 Sit on a bench with your back straight and feet flat on the ground.; Step:2 Hold a barbell with an overhand grip, hands shoulder-width apart, and raise it overhead.; Step:3 Lower the barbell behind your head by bending your elbows, keeping your upper arms close to your head.; Step:4 Pause for a moment, then extend your arms to raise the barbell back to the starting position.; Step:5 Repeat for the desired number of repetitions."
5v7KYld,smith incline bench press,5v7KYld.gif,pectorals,chest,smith machine,shoulders; triceps,"Step:1 Adjust the bench to a 30-45 degree incline.; Step:2 Sit on the bench with your back flat against the pad and feet firmly on the ground.; Step:3 Grasp the barbell with an overhand grip slightly wider than shoulder-width apart.; Step:4 Unrack the barbell and lower it slowly towards your upper chest, keeping your elbows slightly tucked in.; Step:5 Pause for a moment at the bottom, then push the barbell back up to the starting position, fully extending your arms.; Step:6 Repeat for the desired number of repetitions."
6bOA1Oi,weighted side bend (on stability ball),6bOA1Oi.gif,abs,waist,weighted,obliques; lower back,"Step:1 Sit on a stability ball with your feet shoulder-width apart and flat on the ground.; Step:2 Hold a weight in one hand and place your other hand on your hip.; Step:3 Engage your core and slowly bend sideways towards the weighted side, keeping your back straight.; Step:4 Pause for a moment at the bottom, then slowly return to the starting position.; Step:5 Repeat for the desired number of repetitions, then switch sides."
6cKQC5E,dumbbell one arm upright row,6cKQC5E.gif,delts,shoulders,dumbbell,traps; biceps,"Step:1 Stand with your feet shoulder-width apart, holding a dumbbell in one hand with an overhand grip.; Step:2 Let the dumbbell hang at arm's length in front of your thighs, with your palm facing your body.; Step:3 Keeping your back straight and your core engaged, exhale and lift the dumbbell straight up towards your chin, leading with your elbow.; Step:4 Pause for a moment at the top, then inhale and slowly lower the dumbbell back down to the starting position.; Step:5 Repeat for the desired number of repetitions, then switch to the other arm."
6HiHHe0,barbell standing rocking leg calf raise,6HiHHe0.gif,calves,lower legs,barbell,hamstrings; quadriceps,"Step:1 Stand with your feet shoulder-width apart and hold a barbell across your upper back.; Step:2 Raise your heels off the ground as high as possible, balancing on the balls of your feet.; Step:3 Slowly lower your heels back down to the starting position.; Step:4 Repeat for the desired number of repetitions."
6kSxYnw,barbell wrist curl v. 2,6kSxYnw.gif,forearms,lower arms,barbell,biceps; brachialis,"Step:1 Sit on a bench with your feet flat on the ground and your knees bent.; Step:2 Hold a barbell with an underhand grip, palms facing up, and your hands shoulder-width apart.; Step:3 Rest your forearms on your thighs, allowing your wrists to hang off the edge.; Step:4 Slowly curl your wrists upward, bringing the barbell towards your forearms.; Step:5 Pause for a moment at the top, then slowly lower the barbell back down to the starting position.; Step:6 Repeat for the desired number of repetitions."
6MfS53i,dumbbell lying single extension,6MfS53i.gif,triceps,upper arms,dumbbell,shoulders,"Step:1 Lie flat on a bench with a dumbbell in one hand and your arm fully extended above your chest.; Step:2 Lower the dumbbell in a controlled manner towards your forehead, keeping your upper arm stationary.; Step:3 Pause briefly at the bottom of the movement, then extend your arm back to the starting position.; Step:4 Repeat for the desired number of repetitions, then switch arms."
6sMAmNv,dumbbell reverse spider curl,6sMAmNv.gif,biceps,upper arms,dumbbell,forearms,"Step:1 Stand up straight with a dumbbell in each hand, palms facing your body and arms fully extended.; Step:2 Keeping your upper arms stationary, exhale and curl the weights while contracting your biceps.; Step:3 Continue to raise the dumbbells until your biceps are fully contracted and the dumbbells are at shoulder level.; Step:4 Hold the contracted position for a brief pause as you squeeze your biceps.; Step:5 Inhale and slowly begin to lower the dumbbells back to the starting position.; Step:6 Repeat for the desired number of repetitions."
6sYyrRX,bent knee lying twist (male),6sYyrRX.gif,glutes,upper legs,body weight,obliques; hip flexors,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground.; Step:2 Extend your arms out to the sides, perpendicular to your body.; Step:3 Keeping your knees together, slowly lower them to one side, aiming to touch the ground with your knees.; Step:4 Pause for a moment, then engage your core and slowly lift your knees back to the starting position.; Step:5 Repeat the movement to the other side.; Step:6 Continue alternating sides for the desired number of repetitions."
7F1DVzn,lever front pulldown,7F1DVzn.gif,lats,back,leverage machine,biceps; rhomboids; rear deltoids,"Step:1 Adjust the seat height and position yourself on the machine with your knees under the pads and your feet flat on the ground.; Step:2 Grasp the handles with an overhand grip, slightly wider than shoulder-width apart.; Step:3 Sit upright with your chest lifted and your shoulders back, maintaining a slight arch in your lower back.; Step:4 Engage your lats and pull the handles down towards your chest, squeezing your shoulder blades together.; Step:5 Pause for a moment at the bottom of the movement, then slowly release the handles back to the starting position.; Step:6 Repeat for the desired number of repetitions."
7I6LNUG,lever seated row,7I6LNUG.gif,upper back,back,leverage machine,biceps; forearms,"Step:1 Adjust the seat height and footrests to a comfortable position.; Step:2 Sit on the machine with your chest against the pad and your feet on the footrests.; Step:3 Grasp the handles with an overhand grip, shoulder-width apart.; Step:4 Keep your back straight and your core engaged.; Step:5 Pull the handles towards your body, squeezing your shoulder blades together.; Step:6 Pause for a moment at the peak of the movement.; Step:7 Slowly release the handles and return to the starting position.; Step:8 Repeat for the desired number of repetitions."
7inpWch,dumbbell standing concentration curl,7inpWch.gif,biceps,upper arms,dumbbell,forearms,"Step:1 Stand with your feet shoulder-width apart and hold a dumbbell in one hand, with your arm fully extended and palm facing inwards.; Step:2 Place your opposite hand on your thigh for support.; Step:3 Keeping your upper arm stationary, exhale and curl the dumbbell towards your shoulder by contracting your biceps.; Step:4 Continue to raise the dumbbell until your biceps are fully contracted and the dumbbell is at shoulder level.; Step:5 Hold the contracted position for a brief pause as you squeeze your biceps.; Step:6 Inhale and slowly lower the dumbbell back to the starting position.; Step:7 Repeat for the desired number of repetitions, then switch arms."
7saC5zz,cable decline fly,7saC5zz.gif,pectorals,chest,cable,shoulders; triceps,"Step:1 Adjust the cable machine to a decline position.; Step:2 Stand facing away from the machine with your feet shoulder-width apart.; Step:3 Hold the handles with your palms facing forward and your arms extended straight out in front of you.; Step:4 Keeping a slight bend in your elbows, open your arms out to the sides in a controlled motion.; Step:5 Pause for a moment at the fully extended position, then slowly return to the starting position.; Step:6 Repeat for the desired number of repetitions."
7zdxRTl,smith leg press,7zdxRTl.gif,glutes,upper legs,smith machine,quadriceps; hamstrings; calves,"Step:1 Adjust the seat and footplate of the smith machine to a comfortable position.; Step:2 Sit on the machine with your back against the backrest and your feet shoulder-width apart on the footplate.; Step:3 Grasp the handles or sides of the machine for stability.; Step:4 Push the footplate away from you by extending your legs, keeping your back against the backrest.; Step:5 Pause for a moment at the fully extended position.; Step:6 Slowly bend your knees and lower the footplate back towards you, returning to the starting position.; Step:7 Repeat for the desired number of repetitions."
8eqjhOl,dumbbell palms in incline bench press,8eqjhOl.gif,triceps,upper arms,dumbbell,chest; shoulders,"Step:1 Set up an incline bench at a 45-degree angle.; Step:2 Sit on the bench with your back against the backrest and feet flat on the ground.; Step:3 Hold a dumbbell in each hand with an overhand grip, palms facing inwards.; Step:4 Extend your arms straight up above your chest, keeping a slight bend in your elbows.; Step:5 Lower the dumbbells slowly towards your shoulders, keeping your elbows close to your body.; Step:6 Pause for a moment at the bottom, then press the dumbbells back up to the starting position.; Step:7 Repeat for the desired number of repetitions."
8K0w2yA,assisted hanging knee raise with throw down,8K0w2yA.gif,abs,waist,assisted,hip flexors; lower back,"Step:1 Hang from a pull-up bar with your arms fully extended and your palms facing away from you.; Step:2 Engage your core and lift your knees towards your chest, keeping your legs together.; Step:3 Once your knees are at chest level, explosively throw your legs down towards the ground, extending them fully.; Step:4 Allow your legs to swing back up and repeat the movement for the desired number of repetitions."
8oYqOt9,cable seated curl,8oYqOt9.gif,biceps,upper arms,cable,forearms,"Step:1 Sit on a cable machine with your feet flat on the ground and your back straight.; Step:2 Grasp the cable attachment with an underhand grip, palms facing up, and your arms fully extended.; Step:3 Keeping your upper arms stationary, exhale and curl the cable attachment towards your shoulders, contracting your biceps.; Step:4 Pause for a moment at the top of the movement, squeezing your biceps.; Step:5 Inhale and slowly lower the cable attachment back to the starting position, fully extending your arms.; Step:6 Repeat for the desired number of repetitions."
8ozhUIZ,barbell standing calf raise,8ozhUIZ.gif,calves,lower legs,barbell,hamstrings; glutes,"Step:1 Stand with your feet shoulder-width apart and place a barbell across your upper back.; Step:2 Raise your heels off the ground as high as possible, using only your toes.; Step:3 Pause for a moment at the top, then slowly lower your heels back down to the starting position.; Step:4 Repeat for the desired number of repetitions."
8urJS9b,weighted hyperextension (on stability ball),8urJS9b.gif,spine,back,weighted,glutes; hamstrings,"Step:1 Position yourself face down on a stability ball with your hips resting on the ball and your feet against a wall for stability.; Step:2 Place your hands behind your head or cross them over your chest.; Step:3 Engage your core and slowly lift your upper body off the ball, extending your back until your body forms a straight line.; Step:4 Pause for a moment at the top, then slowly lower your upper body back down to the starting position.; Step:5 Repeat for the desired number of repetitions."
8xUv4J7,cable seated crunch,8xUv4J7.gif,abs,waist,cable,obliques,"Step:1 Sit on a cable machine with your feet flat on the ground and your knees bent.; Step:2 Hold the cable handle with both hands and position it behind your head.; Step:3 Engage your abs and slowly curl your upper body forward, bringing your chest towards your knees.; Step:4 Pause for a moment at the top, then slowly return to the starting position.; Step:5 Repeat for the desired number of repetitions."
